;Energy;cross sec
0;0.0;0.0
1;0.5;0.0
2;1.0;0.0
3;1.5;2.842114596663353e-07
4;2.0;2.9950985623990474e-05
5;2.5;0.00020153191573434322
6;3.0;0.0008090252220075264
7;3.5;0.0026812377961481938
8;4.0;0.008087460933311471
9;4.5;0.022820525099693355
10;5.0;0.060798489541973276
11;5.5;0.15362773511159913
12;6.0;0.3688886388900647
13;6.5;0.8428124795025478
14;7.0;1.833794775322018
15;7.5;3.8037226646152877
16;8.0;7.530732501119821
17;8.5;14.248431354003275
18;9.0;25.799087040580805
19;9.5;44.77233593880153
20;10.0;74.59181928751028
21;10.5;119.51268563734924
22;11.0;184.51963137531408
23;11.5;275.08791556182337
24;12.0;396.8554337021115
25;12.5;555.2669674952707
26;13.0;755.2270319138192
27;13.5;1000.8333569576171
28;14.0;1295.2432172874132
29;14.5;1640.6451216622927
30;15.0;2038.3506274619083
31;15.5;2488.938896341657
32;16.0;2992.4470251568737
33;16.5;3548.5337279523424
34;17.0;4156.621086886229
35;17.5;4816.00403976605
36;18.0;5525.932404463373
37;18.5;6285.613337156389
38;19.0;7094.308445446439
39;19.5;7951.24670273203
