;x;y
0;0.0;0.0
1;0.1;0.0
2;0.2;0.0
3;0.30000000000000004;0.0
4;0.4;0.0
5;0.5;0.0
6;0.6000000000000001;0.0
7;0.7000000000000001;0.0
8;0.8;4.9848136268188513e-05
9;0.9;4.9848136268188513e-05
10;1.0;4.9848136268188513e-05
11;1.1;4.9848136268188513e-05
12;1.2000000000000002;4.9848136268188513e-05
13;1.3;9.969627253637703e-05
14;1.4000000000000001;9.969627253637703e-05
15;1.5;0.00014954440880456552
16;1.6;0.00014954440880456552
17;1.7000000000000002;0.00019939254507275405
18;1.8;0.00024924068134094256
19;1.9000000000000001;0.00029908881760913104
20;2.0;0.0003987850901455081
21;2.1;0.0004984813626818851
22;2.2;0.0005981776352182621
23;2.3000000000000003;0.0007477220440228275
24;2.4000000000000004;0.0009471145890955818
25;2.5;0.001146507134168336
26;2.6;0.001395747815509278
27;2.7;0.0016948366331184094
28;2.8000000000000003;0.0020936217232639174
29;2.9000000000000004;0.002542254949677614
30;3.0;0.0030905844486276875
31;3.1;0.0037386102201141386
32;3.2;0.004486332264136966
33;3.3000000000000003;0.005433446853232548
34;3.4000000000000004;0.006530105851132695
35;3.5;0.007826157394105596
36;3.6;0.00937144961841944
37;3.7;0.011165982524074225
38;3.8000000000000003;0.013259604247338144
39;3.9000000000000004;0.01575201106074757
40;4.0;0.0186432029643025
41;4.1000000000000005;0.022032876230539324
42;4.2;0.026020727131994402
43;4.3;0.030556907532399556
44;4.4;0.035890658113095726
45;4.5;0.04197213073781473
46;4.6000000000000005;0.0490505660878975
47;4.7;0.05712596416334403
48;4.800000000000001;0.0663977175092271
49;4.9;0.07696552239808306
50;5.0;0.08897892323871649
51;5.1000000000000005;0.10268716071246833
52;5.2;0.11818993109187495
53;5.300000000000001;0.13573647505827732
54;5.4;0.15547633702047994
55;5.5;0.17770860579609205
56;5.6000000000000005;0.2026326739301863
57;5.7;0.2304479339678355
58;5.800000000000001;0.26150332286291694
59;5.9;0.29604808129677157
60;6.0;0.3343314499507404
61;6.1000000000000005;0.3767023657787006
62;6.2;0.42336022132572504
63;6.300000000000001;0.4747536498182274
64;6.4;0.5310321956650123
65;6.5;0.5926444920924933
66;6.6000000000000005;0.6597899316457432
