;Energy;cross sec
213;2.13;5.3409354900787194e-05
214;2.14;5.599743281985818e-05
215;2.15;5.858551073892905e-05
216;2.16;6.117358865800004e-05
217;2.17;6.37616665770709e-05
218;2.18;6.634974449614188e-05
219;2.19;6.893782241521275e-05
220;2.2;7.152590033428373e-05
221;2.21;7.41139782533546e-05
222;2.22;7.670205617242558e-05
223;2.23;7.987148996098047e-05
224;2.24;8.332726320763959e-05
225;2.25;8.678303645429854e-05
226;2.2600000000000002;9.023880970095765e-05
227;2.27;9.36945829476166e-05
228;2.2800000000000002;9.71503561942757e-05
229;2.29;0.00010060612944093466
230;2.3000000000000003;0.00010406190268759376
231;2.31;0.00010751767593425272
232;2.32;0.00011097344918091167
233;2.33;0.00011512034398393949
234;2.34;0.00011960764194159651
235;2.35;0.00012409493989925374
236;2.36;0.00012858223785691076
237;2.37;0.000133069535814568
238;2.38;0.00013755683377222503
239;2.39;0.00014204413172988224
240;2.4;0.00014653142968753928
241;2.41;0.00015101872764519648
242;2.42;0.00015550602560285352
243;2.43;0.00016087799492101347
244;2.44;0.00016668569789434618
245;2.45;0.00017249340086767916
246;2.46;0.00017830110384101187
247;2.47;0.00018410880681434482
248;2.48;0.00018991650978767756
249;2.49;0.0001957242127610105
250;2.5;0.00020153191573434322
251;2.5100000000000002;0.0002073396187076762
252;2.52;0.0002131473216810089
253;2.5300000000000002;0.00022014794486642609
254;2.54;0.00022773612576824256
255;2.5500000000000003;0.00023532430667005938
256;2.56;0.00024291248757187585
257;2.57;0.0002505006684736923
258;2.58;0.0002580888493755091
259;2.59;0.00026567703027732565
260;2.6;0.00027326521117914244
261;2.61;0.0002808533920809589
262;2.62;0.00028844157298277577
263;2.63;0.0002974661499073919
264;2.64;0.00030719820547010405
265;2.65;0.00031693026103281574
266;2.66;0.0003266623165955279
267;2.67;0.0003363943721582396
268;2.68;0.00034612642772095174
269;2.69;0.00035585848328366343
270;2.7;0.00036559053884637556
271;2.71;0.00037532259440908725
272;2.72;0.0003850546499717994
273;2.73;0.0003964824557946951
274;2.74;0.00040874548189499533
275;2.75;0.00042100850799529503
276;2.7600000000000002;0.00043327153409559527
277;2.77;0.00044553456019589497
278;2.7800000000000002;0.0004577975862961952
279;2.79;0.00047006061239649496
280;2.8000000000000003;0.0004823236384967952
281;2.81;0.0004945866645970949
282;2.82;0.0005068496906973946
283;2.83;0.0005210989785521765
284;2.84;0.0005363265744352846
285;2.85;0.0005515541703183933
286;2.86;0.0005667817662015014
287;2.87;0.0005820093620846101
288;2.88;0.0005972369579677181
289;2.89;0.0006124645538508269
290;2.9;0.0006276921497339349
291;2.91;0.0006429197456170436
292;2.92;0.0006581473415001517
293;2.93;0.0006759131728469476
294;2.94;0.000694929179869887
295;2.95;0.0007139451868928274
296;2.96;0.0007329611939157669
297;2.97;0.0007519772009387072
298;2.98;0.0007709932079616467
299;2.99;0.0007900092149845869
300;3.0;0.0008090252220075264
301;3.0100000000000002;0.0008280412290304667
302;3.02;0.0008470572360534062
303;3.0300000000000002;0.000869548438091811
304;3.04;0.0008937513033467864
305;3.0500000000000003;0.000917954168601763
306;3.06;0.0009421570338567385
307;3.0700000000000003;0.000966359899111715
308;3.08;0.0009905627643666903
309;3.09;0.001014765629621666
310;3.1;0.0010389684948766424
311;3.11;0.0010631713601316178
312;3.12;0.0010873742253865943
313;3.13;0.001115750486095667
314;3.14;0.001146182299789595
315;3.15;0.0011766141134835217
316;3.16;0.0012070459271774497
317;3.17;0.0012374777408713767
318;3.18;0.0012679095545653047
319;3.19;0.0012983413682592314
320;3.2;0.0013287731819531595
321;3.21;0.0013592049956470862
322;3.22;0.0013896368093410142
323;3.23;0.001425007431079329
324;3.24;0.0014628106000633889
325;3.25;0.0015006137690474469
326;3.2600000000000002;0.0015384169380315068
327;3.27;0.001576220107015565
328;3.2800000000000002;0.0016140232759996247
329;3.29;0.0016518264449836828
330;3.3000000000000003;0.0016896296139677425
331;3.31;0.0017274327829518007
332;3.3200000000000003;0.0017652359519358604
333;3.33;0.0018088169119906544
334;3.34;0.0018552436497370054
335;3.35;0.0019016703874833584
336;3.36;0.0019480971252297094
337;3.37;0.0019945238629760624
338;3.38;0.0020409506007224134
339;3.39;0.0020873773384687665
340;3.4;0.002133804076215117
341;3.41;0.0021802308139614703
342;3.42;0.0022266575517078213
343;3.43;0.0022803491459671603
344;3.44;0.0023376189531358785
345;3.45;0.0023948887603045988
346;3.46;0.002452158567473317
347;3.47;0.002509428374642037
348;3.48;0.0025666981818107553
349;3.49;0.002623967988979476
350;3.5;0.0026812377961481938
351;3.5100000000000002;0.0027385076033169145
352;3.52;0.002795777410485632
353;3.5300000000000002;0.002862733006579137
354;3.54;0.0029344592151281292
355;3.5500000000000003;0.003006185423677124
356;3.56;0.003077911632226116
357;3.5700000000000003;0.003149637840775111
358;3.58;0.003221364049324103
359;3.59;0.0032930902578730947
360;3.6;0.00336481646642209
361;3.61;0.0034365426749710815
362;3.62;0.0035082688835200767
363;3.63;0.003591559476184809
364;3.64;0.0036805459595334175
365;3.65;0.0037695324428820226
366;3.66;0.0038585189262306313
367;3.67;0.0039475054095792364
368;3.68;0.004036491892927845
369;3.69;0.00412547837627645
370;3.7;0.00421446485962506
371;3.71;0.004303451342973664
372;3.72;0.0043924378263222735
373;3.73;0.004495035541212625
374;3.74;0.004604337295519066
375;3.75;0.004713639049825502
376;3.7600000000000002;0.004822940804131942
377;3.77;0.004932242558438378
378;3.7800000000000002;0.005041544312744819
379;3.79;0.005150846067051255
380;3.8000000000000003;0.005260147821357695
381;3.81;0.005369449575664131
382;3.8200000000000003;0.005478751329970572
383;3.83;0.005603876292480087
384;3.84;0.005736794775447837
385;3.85;0.005869713258415592
386;3.86;0.006002631741383342
387;3.87;0.006135550224351098
388;3.88;0.006268468707318848
389;3.89;0.006401387190286603
390;3.9;0.006534305673254353
391;3.91;0.006667224156222108
392;3.92;0.0068001426391898585
393;3.93;0.00695262568387265
394;3.94;0.00711474500522105
395;3.95;0.007276864326569457
396;3.96;0.007438983647917857
397;3.97;0.007601102969266264
398;3.98;0.007763222290614664
399;3.99;0.007925341611963071
400;4.0;0.008087460933311471
401;4.01;0.00824958025465987
402;4.0200000000000005;0.008411699576008284
403;4.03;0.008599360304830718
404;4.04;0.008799601129871704
405;4.05;0.008999841954912689
406;4.0600000000000005;0.00920008277995369
407;4.07;0.009400323604994675
408;4.08;0.00960056443003566
409;4.09;0.009800805255076645
410;4.1;0.010001046080117629
411;4.11;0.010201286905158632
412;4.12;0.010401527730199617
413;4.13;0.010632013644024527
414;4.14;0.010877396392623615
415;4.15;0.011122779141222724
416;4.16;0.01136816188982181
417;4.17;0.011613544638420896
418;4.18;0.011858927387019984
419;4.19;0.012104310135619092
420;4.2;0.012349692884218178
421;4.21;0.012595075632817265
422;4.22;0.012840458381416352
423;4.23;0.01312118548961099
424;4.24;0.013419321013725784
425;4.25;0.01371745653784058
426;4.26;0.014015592061955375
427;4.2700000000000005;0.014313727586070198
428;4.28;0.014611863110184994
429;4.29;0.01490999863429979
430;4.3;0.015208134158414585
431;4.3100000000000005;0.015506269682529408
432;4.32;0.015804405206644202
433;4.33;0.01614342918717619
434;4.34;0.016502592258182312
435;4.3500000000000005;0.016861755329188467
436;4.36;0.01722091840019459
437;4.37;0.017580081471200715
438;4.38;0.01793924454220684
439;4.39;0.018298407613212962
440;4.4;0.018657570684219117
441;4.41;0.01901673375522524
442;4.42;0.019375896826231365
443;4.43;0.019784966922351783
444;4.44;0.020218618090543466
445;4.45;0.020652269258735107
446;4.46;0.02108592042692675
447;4.47;0.02151957159511839
448;4.48;0.02195322276331007
449;4.49;0.022386873931501714
450;4.5;0.022820525099693355
451;4.51;0.023254176267884997
452;4.5200000000000005;0.023687827436076676
453;4.53;0.02418501261868644
454;4.54;0.024713490674069305
455;4.55;0.025241968729452165
456;4.5600000000000005;0.025770446784835074
457;4.57;0.026298924840217938
458;4.58;0.0268274028956008
459;4.59;0.02735588095098366
460;4.6000000000000005;0.027884359006366568
461;4.61;0.028412837061749432
462;4.62;0.028941315117132292
463;4.63;0.02954439719663669
464;4.64;0.030184224541753193
465;4.65;0.030824051886869753
466;4.66;0.03146387923198626
467;4.67;0.03210370657710276
468;4.68;0.032743533922219265
469;4.69;0.03338336126733582
470;4.7;0.03402318861245232
471;4.71;0.03466301595756883
472;4.72;0.03530284330268533
473;4.73;0.036029344361216055
474;4.74;0.03679853545769698
475;4.75;0.037567726554177894
476;4.76;0.03833691765065882
477;4.7700000000000005;0.03910610874713981
478;4.78;0.039875299843620725
479;4.79;0.04064449094010165
480;4.8;0.041413682036582564
481;4.8100000000000005;0.042182873133063556
482;4.82;0.04295206422954448
483;4.83;0.043820893249254596
484;4.84;0.04473879766398806
485;4.8500000000000005;0.045656702078721606
486;4.86;0.04657460649345507
487;4.87;0.04749251090818853
488;4.88;0.048410415322922
489;4.89;0.04932831973765547
490;4.9;0.05024622415238901
491;4.91;0.05116412856712248
492;4.92;0.05208203298185594
493;4.93;0.05311989283756816
494;4.94;0.05421683522391182
495;4.95;0.05531377761025538
496;4.96;0.05641071999659894
497;4.97;0.0575076623829425
498;4.98;0.05860460476928615
499;4.99;0.05970154715562972
500;5.0;0.060798489541973276
501;5.01;0.061895431928316834
502;5.0200000000000005;0.0629923743146605
503;5.03;0.06423926131427364
504;5.04;0.06556000163087032
505;5.05;0.066880741947467
506;5.0600000000000005;0.0682014822640638
507;5.07;0.06952222258066049
508;5.08;0.07084296289725718
509;5.09;0.07216370321385386
510;5.1000000000000005;0.07348444353045067
511;5.11;0.07480518384704735
512;5.12;0.07612592416364403
513;5.13;0.0776212379397598
514;5.14;0.07920253565862376
515;5.15;0.08078383337748787
516;5.16;0.08236513109635184
517;5.17;0.0839464288152158
518;5.18;0.08552772653407978
519;5.19;0.08710902425294388
520;5.2;0.08869032197180785
521;5.21;0.09027161969067182
522;5.22;0.09185291740953579
523;5.23;0.09363535036586006
524;5.24;0.09551684993167947
525;5.25;0.09739834949749888
526;5.26;0.09927984906331828
527;5.2700000000000005;0.10116134862913786
528;5.28;0.10304284819495728
529;5.29;0.10492434776077669
530;5.3;0.10680584732659609
531;5.3100000000000005;0.10868734689241567
532;5.32;0.11056884645823509
533;5.33;0.11268045722245713
534;5.34;0.11490540633813125
535;5.3500000000000005;0.11713035545380557
536;5.36;0.11935530456947968
537;5.37;0.12158025368515381
538;5.38;0.12380520280082792
539;5.39;0.12603015191650205
540;5.4;0.12825510103217636
541;5.41;0.13048005014785047
542;5.42;0.1327049992635246
543;5.43;0.13520276529682534
544;5.44;0.1378349038417932
545;5.45;0.14046704238676083
546;5.46;0.14309918093172844
547;5.47;0.14573131947669607
548;5.48;0.1483634580216639
549;5.49;0.15099559656663153
550;5.5;0.15362773511159913
551;5.51;0.15625987365656677
552;5.5200000000000005;0.15889201220153462
553;5.53;0.16185845857764386
554;5.54;0.1649895640347632
555;5.55;0.16812066949188254
556;5.5600000000000005;0.17125177494900218
557;5.57;0.17438288040612152
558;5.58;0.17751398586324085
559;5.59;0.1806450913203602
560;5.6000000000000005;0.1837761967774798
561;5.61;0.18690730223459914
562;5.62;0.19003840769171848
563;5.63;0.19355508435872285
564;5.64;0.19726166923358104
565;5.65;0.2009682541084396
566;5.66;0.2046748389832978
567;5.67;0.208381423858156
568;5.68;0.2120880087330142
569;5.69;0.21579459360787276
570;5.7;0.21950117848273096
571;5.71;0.22320776335758918
572;5.72;0.22691434823244738
573;5.73;0.23106269586379236
574;5.74;0.23542862813639154
575;5.75;0.23979456040899072
576;5.76;0.2441604926815899
577;5.7700000000000005;0.24852642495418947
578;5.78;0.25289235722678866
579;5.79;0.25725828949938784
580;5.8;0.261624221771987
581;5.8100000000000005;0.2659901540445866
582;5.82;0.2703560863171858
583;5.83;0.27522367473043713
584;5.84;0.2803383475114724
585;5.8500000000000005;0.28545302029250813
586;5.86;0.29056769307354346
587;5.87;0.29568236585457874
588;5.88;0.300797038635614
589;5.89;0.3059117114166493
590;5.9;0.3110263841976851
591;5.91;0.31614105697872036
592;5.92;0.32125572975975564
593;5.93;0.32695702614065497
594;5.94;0.33294725653342816
595;5.95;0.33893748692620085
596;5.96;0.3449277173189735
597;5.97;0.35091794771174617
598;5.98;0.35690817810451936
599;5.99;0.36289840849729205
600;6.0;0.3688886388900647
601;6.01;0.37487886928283737
602;6.0200000000000005;0.38086909967561056
603;6.03;0.38756447772309427
604;6.04;0.3946071673020029
605;6.05;0.40164985688091154
606;6.0600000000000005;0.4086925464598208
607;6.07;0.4157352360387294
608;6.08;0.42277792561763805
609;6.09;0.4298206151965467
610;6.1000000000000005;0.436863304775456
611;6.11;0.4439059943543646
612;6.12;0.45094868393327325
613;6.13;0.45879908443109163
614;6.140000000000001;0.467047312694941
615;6.15;0.4752955409587896
616;6.16;0.48354376922263825
617;6.17;0.4917919974864869
618;6.18;0.5000402257503356
619;6.19;0.5082884540141849
620;6.2;0.5165366822780335
621;6.21;0.5247849105418821
622;6.22;0.5330331388057308
623;6.23;0.5421984312384693
624;6.24;0.5518154119931974
625;6.25;0.5614323927479256
626;6.26;0.5710493735026536
627;6.2700000000000005;0.5806663542573826
628;6.28;0.5902833350121106
629;6.29;0.5999003157668387
630;6.3;0.6095172965215668
631;6.3100000000000005;0.6191342772762958
632;6.32;0.6287512580310238
633;6.33;0.6394029292345363
634;6.34;0.6505642240919279
635;6.3500000000000005;0.6617255189493204
636;6.36;0.672886813806712
637;6.37;0.6840481086641035
638;6.38;0.6952094035214951
639;6.390000000000001;0.7063706983788876
640;6.4;0.7175319932362791
641;6.41;0.7286932880936706
642;6.42;0.7398545829510622
643;6.43;0.752209782665543
644;6.44;0.7651530250708302
645;6.45;0.7780962674761163
646;6.46;0.7910395098814024
647;6.47;0.8039827522866885
648;6.48;0.8169259946919757
649;6.49;0.8298692370972618
650;6.5;0.8428124795025478
651;6.51;0.8557557219078339
652;6.5200000000000005;0.8686989643131211
653;6.53;0.8830514696142837
654;6.54;0.898098089476102
655;6.55;0.9131447093379204
656;6.5600000000000005;0.92819132919974
657;6.57;0.9432379490615583
658;6.58;0.9582845689233767
659;6.59;0.973331188785195
660;6.6000000000000005;0.9883778086470146
661;6.61;1.003424428508833
662;6.62;1.0184710483706512
663;6.63;1.0351159463645638
664;6.640000000000001;1.0525480559757785
665;6.65;1.0699801655869914
666;6.66;1.0874122751982045
667;6.67;1.1048443848094174
668;6.68;1.1222764944206305
669;6.69;1.139708604031845
670;6.7;1.157140713643058
671;6.71;1.174572823254271
672;6.72;1.192004932865484
673;6.73;1.2112344315697667
674;6.74;1.2313492114691413
675;6.75;1.251463991368516
676;6.76;1.2715787712678905
677;6.7700000000000005;1.291693551167267
678;6.78;1.3118083310666415
679;6.79;1.3319231109660161
680;6.8;1.3520378908653907
681;6.8100000000000005;1.372152670764767
682;6.82;1.3922674506641417
683;6.83;1.4143978616243442
684;6.84;1.4375210460921188
685;6.8500000000000005;1.4606442305598957
686;6.86;1.4837674150276703
687;6.87;1.506890599495445
688;6.88;1.5300137839632195
689;6.890000000000001;1.5531369684309964
690;6.9;1.576260152898771
691;6.91;1.5993833373665456
692;6.92;1.6225065218343204
693;6.93;1.6479273413854694
694;6.94;1.6744798319478351
695;6.95;1.7010323225101986
696;6.96;1.727584813072562
697;6.97;1.7541373036349255
698;6.98;1.7806897941972912
699;6.99;1.8072422847596545
700;7.0;1.833794775322018
701;7.01;1.8603472658843814
702;7.0200000000000005;1.8868997564467471
703;7.03;1.9161172746832367
704;7.04;1.9466474184905644
705;7.05;1.9771775622978922
706;7.0600000000000005;2.0077077061052226
707;7.07;2.0382378499125506
708;7.08;2.068767993719878
709;7.09;2.099298137527206
710;7.1000000000000005;2.1298282813345364
711;7.11;2.1603584251418644
712;7.12;2.190888568949192
713;7.13;2.2244130645557694
714;7.140000000000001;2.2594123901530256
715;7.15;2.294411715750279
716;7.16;2.3294110413475315
717;7.17;2.3644103669447847
718;7.18;2.3994096925420374
719;7.19;2.4344090181392937
720;7.2;2.469408343736547
721;7.21;2.5044076693337995
722;7.22;2.5394069949310527
723;7.23;2.577752346050236
724;7.24;2.6177457395906636
725;7.25;2.657739133131092
726;7.26;2.6977325266715195
727;7.2700000000000005;2.7377259202119513
728;7.28;2.777719313752379
729;7.29;2.817712707292807
730;7.3;2.857706100833235
731;7.3100000000000005;2.8976994943736667
732;7.32;2.9376928879140944
733;7.33;2.9814094938053413
734;7.34;3.0269599207052
735;7.3500000000000005;3.072510347605063
736;7.36;3.1180607745049214
737;7.37;3.1636112014047804
738;7.38;3.2091616283046394
739;7.390000000000001;3.254712055204502
740;7.4;3.300262482104361
741;7.41;3.3458129090042195
742;7.42;3.3913633359040785
743;7.43;3.4411028712854574
744;7.44;3.492905698904008
745;7.45;3.5447085265225535
746;7.46;3.5965113541410996
747;7.47;3.6483141817596456
748;7.48;3.7001170093781957
749;7.49;3.7519198369967417
750;7.5;3.8037226646152877
751;7.51;3.8555254922338333
752;7.5200000000000005;3.907328319852384
753;7.53;3.963906252227599
754;7.54;4.022836101871024
755;7.55;4.081765951514449
756;7.5600000000000005;4.1406958011578805
757;7.57;4.1996256508013055
758;7.58;4.258555500444731
759;7.59;4.317485350088156
760;7.6000000000000005;4.3764151997315865
761;7.61;4.435345049375012
762;7.62;4.494274899018437
763;7.63;4.5585260214066965
764;7.640000000000001;4.625398069176747
765;7.65;4.69227011694679
766;7.66;4.759142164716834
767;7.67;4.826014212486877
768;7.68;4.892886260256921
769;7.69;4.95975830802697
770;7.7;5.026630355797013
771;7.71;5.093502403567057
772;7.72;5.1603744513371
773;7.73;5.233142380283733
774;7.74;5.308814250705394
775;7.75;5.384486121127055
776;7.76;5.460157991548716
777;7.7700000000000005;5.535829861970384
778;7.78;5.611501732392044
779;7.79;5.687173602813705
780;7.8;5.762845473235366
781;7.8100000000000005;5.838517343657033
782;7.82;5.914189214078695
783;7.83;5.996367687699792
784;7.84;6.081750906180313
785;7.8500000000000005;6.167134124660842
786;7.86;6.252517343141364
787;7.87;6.337900561621886
788;7.88;6.423283780102408
789;7.890000000000001;6.508666998582937
790;7.9;6.594050217063459
791;7.91;6.679433435543981
792;7.92;6.764816654024502
793;7.930000000000001;6.857437104121493
794;7.94;6.953622160835539
795;7.95;7.049807217549584
796;7.96;7.145992274263629
797;7.97;7.242177330977675
798;7.98;7.338362387691729
799;7.99;7.434547444405775
800;8.0;7.530732501119821
801;8.01;7.626917557833866
802;8.02;7.723102614547912
803;8.03;7.827410660356563
804;8.040000000000001;7.935719581390938
805;8.05;8.044028502425293
806;8.06;8.152337423459649
807;8.07;8.260646344494003
808;8.08;8.368955265528358
809;8.09;8.477264186562714
810;8.1;8.58557310759707
811;8.11;8.693882028631425
812;8.120000000000001;8.802190949665798
813;8.13;8.91946017509518
814;8.14;9.041142684778826
815;8.15;9.162825194462474
816;8.16;9.28450770414612
817;8.17;9.406190213829769
818;8.18;9.527872723513415
819;8.19;9.649555233197063
820;8.2;9.77123774288071
821;8.21;9.892920252564378
822;8.22;10.014602762248025
823;8.23;10.146131107269602
824;8.24;10.282508893577022
825;8.25;10.41888667988444
826;8.26;10.555264466191861
827;8.27;10.691642252499282
828;8.28;10.828020038806702
829;8.290000000000001;10.964397825114146
830;8.3;11.100775611421566
831;8.31;11.237153397728987
832;8.32;11.373531184036407
833;8.33;11.520690698630148
834;8.34;11.673160616708191
835;8.35;11.825630534786237
836;8.36;11.978100452864282
837;8.370000000000001;12.130570370942355
838;8.38;12.2830402890204
839;8.39;12.435510207098444
840;8.4;12.58798012517649
841;8.41;12.740450043254535
842;8.42;12.89291996133258
843;8.43;13.057248272134357
844;8.44;13.227417283829913
845;8.45;13.397586295525468
846;8.46;13.567755307221054
847;8.47;13.737924318916608
848;8.48;13.908093330612164
849;8.49;14.07826234230772
850;8.5;14.248431354003275
851;8.51;14.418600365698829
852;8.52;14.588769377394385
853;8.53;14.772057816963347
854;8.540000000000001;14.961808064290889
855;8.55;15.151558311618398
856;8.56;15.341308558945906
857;8.57;15.531058806273416
858;8.58;15.720809053600924
859;8.59;15.910559300928433
860;8.6;16.100309548255943
861;8.61;16.29005979558345
862;8.620000000000001;16.479810042910994
863;8.63;16.683893111956923
864;8.64;16.89503563050596
865;8.65;17.106178149054994
866;8.66;17.317320667604026
867;8.67;17.52846318615306
868;8.68;17.739605704702093
869;8.69;17.95074822325113
870;8.700000000000001;18.1618907418002
871;8.71;18.37303326034923
872;8.72;18.584175778898267
873;8.73;18.81092411337684
874;8.74;19.045358894507267
875;8.75;19.279793675637695
876;8.76;19.514228456768127
877;8.77;19.748663237898555
878;8.78;19.983098019028986
879;8.790000000000001;20.217532800159457
880;8.8;20.451967581289885
881;8.81;20.686402362420317
882;8.82;20.920837143550745
883;8.83;21.172226892785858
884;8.84;21.431967596460588
885;8.85;21.69170830013532
886;8.86;21.95144900381005
887;8.870000000000001;22.211189707484827
888;8.88;22.47093041115956
889;8.89;22.73067111483429
890;8.9;22.99041181850902
891;8.91;23.250152522183754
892;8.92;23.509893225858484
893;8.93;23.78808890791227
894;8.94;24.07537435543634
895;8.950000000000001;24.36265980296046
896;8.96;24.649945250484528
897;8.97;24.937230698008598
898;8.98;25.224516145532668
899;8.99;25.511801593056735
900;9.0;25.799087040580805
901;9.01;26.086372488104875
902;9.02;26.37365793562894
903;9.03;26.681067504717447
904;9.040000000000001;26.99838895457655
905;9.05;27.315710404435595
906;9.06;27.633031854294643
907;9.07;27.95035330415369
908;9.08;28.267674754012734
909;9.09;28.584996203871782
910;9.1;28.902317653730826
911;9.11;29.219639103589873
912;9.120000000000001;29.536960553448978
913;9.13;29.87607590355622
914;9.14;30.225925562740933
915;9.15;30.57577522192565
916;9.16;30.925624881110362
917;9.17;31.275474540295075
918;9.18;31.62532419947979
919;9.19;31.9751738586645
920;9.200000000000001;32.325023517849274
921;9.21;32.67487317703399
922;9.22;33.02472283621871
923;9.23;33.398089901243736
924;9.24;33.783040166160276
925;9.25;34.16799043107681
926;9.26;34.55294069599334
927;9.27;34.937890960909876
928;9.28;35.32284122582641
929;9.290000000000001;35.70779149074301
930;9.3;36.092741755659546
931;9.31;36.47769202057608
932;9.32;36.86264228549261
