,x,y
0,0.0,0.0
1,0.0020615315517628565,0.0
2,0.004123063103525713,0.0
3,0.00618459465528857,0.0
4,0.008246126207051426,0.0
5,0.010307657758814282,0.0
6,0.01236918931057714,0.0
7,0.014430720862339996,0.0
8,0.01649225241410285,0.0
9,0.018553783965865708,3.0000000000000004e-05
10,0.020615315517628564,3.0000000000000004e-05
11,0.02267684706939142,3.0000000000000004e-05
12,0.02473837862115428,3.0000000000000004e-05
13,0.026799910172917135,3.0000000000000004e-05
14,0.02886144172467999,3.0000000000000004e-05
15,0.030922973276442847,5.000000000000001e-05
16,0.0329845048282057,6.000000000000001e-05
17,0.03504603637996856,6.000000000000001e-05
18,0.037107567931731415,6.000000000000001e-05
19,0.03916909948349427,8e-05
20,0.04123063103525713,9e-05
21,0.04329216258701998,9e-05
22,0.04535369413878284,0.0001
23,0.047415225690545695,0.00011000000000000002
24,0.04947675724230856,0.00012000000000000002
25,0.051538288794071414,0.00013000000000000002
26,0.05359982034583427,0.00014000000000000001
27,0.055661351897597126,0.00016
28,0.05772288344935998,0.00017
29,0.05978441500112284,0.00018
30,0.061845946552885694,0.00018999999999999998
31,0.06390747810464854,0.00019999999999999998
32,0.0659690096564114,0.00022
33,0.06803054120817427,0.00023
34,0.07009207275993712,0.00025
35,0.07215360431169998,0.00026000000000000003
36,0.07421513586346283,0.00028000000000000003
37,0.0762766674152257,0.00030000000000000003
38,0.07833819896698854,0.00031
39,0.0803997305187514,0.00033
40,0.08246126207051425,0.00034
41,0.08452279362227712,0.00035999999999999997
42,0.08658432517403997,0.00039999999999999996
43,0.08864585672580283,0.00039999999999999996
44,0.09070738827756568,0.00043
45,0.09276891982932854,0.00044
46,0.09483045138109139,0.00046
47,0.09689198293285425,0.00049
48,0.09895351448461712,0.0005
49,0.10101504603637997,0.0005300000000000001
50,0.10307657758814283,0.00055
51,0.10513810913990568,0.00057
52,0.10719964069166854,0.00059
53,0.10926117224343139,0.00062
54,0.11132270379519425,0.00064
55,0.1133842353469571,0.0006600000000000001
56,0.11544576689871996,0.00068
57,0.11750729845048281,0.0007100000000000001
58,0.11956883000224568,0.00073
59,0.12163036155400853,0.00076
60,0.12369189310577139,0.0007899999999999999
61,0.12575342465753425,0.00082
62,0.1278149562092971,0.00084
63,0.12987648776105995,0.00086
64,0.1319380193128228,0.0008900000000000001
65,0.13399955086458568,0.00092
66,0.13606108241634854,0.0009500000000000001
67,0.13812261396811137,0.00098
68,0.14018414551987424,0.00101
69,0.1422456770716371,0.0010400000000000001
70,0.14430720862339996,0.0010600000000000002
71,0.1463687401751628,0.00109
72,0.14843027172692566,0.00113
73,0.15049180327868852,0.00116
74,0.1525533348304514,0.0012000000000000001
75,0.15461486638221422,0.00123
76,0.15667639793397709,0.00126
77,0.15873792948573995,0.0013000000000000002
78,0.1607994610375028,0.00133
79,0.16286099258926565,0.0013700000000000001
80,0.1649225241410285,0.0014000000000000002
81,0.16698405569279137,0.00143
82,0.16904558724455424,0.00146
83,0.1711071187963171,0.00151
84,0.17316865034807993,0.0015400000000000001
85,0.1752301818998428,0.0015799999999999998
86,0.17729171345160566,0.00162
87,0.17935324500336852,0.00166
88,0.18141477655513136,0.0017
89,0.18347630810689422,0.00173
90,0.18553783965865708,0.00176
91,0.18759937121041995,0.00181
92,0.18966090276218278,0.00185
93,0.19172243431394564,0.0019000000000000002
94,0.1937839658657085,0.0019399999999999999
95,0.19584549741747137,0.00198
96,0.19790702896923423,0.00202
97,0.19996856052099707,0.0020700000000000002
98,0.20203009207275993,0.0021000000000000003
99,0.2040916236245228,0.00215
100,0.20615315517628566,0.00218
101,0.2082146867280485,0.0022299999999999998
102,0.21027621827981136,0.0022800000000000003
103,0.21233774983157422,0.00232
104,0.21439928138333708,0.00236
105,0.21646081293509992,0.0024200000000000003
106,0.21852234448686278,0.00245
107,0.22058387603862564,0.0025
108,0.2226454075903885,0.00255
109,0.22470693914215134,0.0025900000000000003
110,0.2267684706939142,0.00265
111,0.22883000224567707,0.0027
112,0.23089153379743993,0.00275
113,0.2329530653492028,0.00279
114,0.23501459690096563,0.00284
115,0.2370761284527285,0.0028899999999999998
116,0.23913766000449135,0.00295
117,0.24119919155625422,0.00299
118,0.24326072310801705,0.00304
119,0.24532225465977991,0.0030900000000000003
120,0.24738378621154278,0.0031399999999999996
121,0.24944531776330564,0.00319
122,0.2515068493150685,0.00324
123,0.25356838086683137,0.0033
124,0.2556299124185942,0.00335
125,0.25769144397035704,0.0034200000000000003
126,0.2597529755221199,0.00347
127,0.26181450707388276,0.00352
128,0.2638760386256456,0.00357
129,0.2659375701774085,0.00363
130,0.26799910172917135,0.0036800000000000005
131,0.2700606332809342,0.0037400000000000007
132,0.2721221648326971,0.0037900000000000004
133,0.2741836963844599,0.00385
134,0.27624522793622275,0.00391
135,0.2783067594879856,0.00397
136,0.2803682910397485,0.004019999999999999
137,0.28242982259151134,0.004079999999999999
138,0.2844913541432742,0.00413
139,0.28655288569503706,0.0042
140,0.2886144172467999,0.00427
141,0.29067594879856273,0.00432
142,0.2927374803503256,0.00438
143,0.29479901190208846,0.00444
144,0.2968605434538513,0.00451
145,0.2989220750056142,0.00457
146,0.30098360655737705,0.00462
147,0.3030451381091399,0.00468
148,0.3051066696609028,0.00474
149,0.30716820121266564,0.00481
150,0.30922973276442844,0.00487
151,0.3112912643161913,0.0049299999999999995
152,0.31335279586795417,0.005
153,0.31541432741971703,0.00508
154,0.3174758589714799,0.00513
155,0.31953739052324276,0.0052
156,0.3215989220750056,0.0052699999999999995
