,GTR,PR1,PR2,PR3,x,y
72,0.00328,0.00174,0.00245,0.00219,0.41210139002452983,0.00966
73,0.00338,0.00178,0.00251,0.00225,0.4178250204415372,0.009919999999999998
74,0.00347,0.00182,0.00257,0.00231,0.42354865085854454,0.010169999999999998
75,0.00357,0.00187,0.00263,0.00237,0.4292722812755519,0.01044
76,0.00367,0.00191,0.00269,0.00243,0.43499591169255925,0.0107
77,0.00377,0.00196,0.00275,0.00249,0.4407195421095666,0.010969999999999999
78,0.00387,0.002,0.00282,0.00256,0.446443172526574,0.011250000000000001
79,0.00397,0.00205,0.00288,0.00262,0.45216680294358136,0.011519999999999999
80,0.00408,0.00209,0.00294,0.00269,0.4578904333605887,0.0118
81,0.00418,0.00214,0.00301,0.00275,0.46361406377759606,0.01208
82,0.00429,0.00218,0.00307,0.00282,0.4693376941946034,0.012360000000000001
83,0.0044,0.00223,0.00313,0.00288,0.47506132461161077,0.012640000000000004
84,0.00451,0.00227,0.0032,0.00295,0.4807849550286181,0.01293
85,0.00462,0.00232,0.00326,0.00302,0.4865085854456255,0.013219999999999999
86,0.00473,0.00236,0.00332,0.00309,0.4922322158626328,0.0135
87,0.00485,0.00241,0.00339,0.00316,0.49795584627964024,0.01381
88,0.00496,0.00246,0.00345,0.00323,0.5036794766966476,0.014100000000000001
89,0.00508,0.0025,0.00352,0.0033,0.5094031071136549,0.014400000000000001
90,0.0052,0.00255,0.00358,0.00337,0.5151267375306623,0.014700000000000001
91,0.00532,0.00259,0.00365,0.00344,0.5208503679476696,0.015000000000000001
92,0.00544,0.00264,0.00371,0.00351,0.526573998364677,0.015300000000000003
93,0.00556,0.00269,0.00378,0.00358,0.5322976287816844,0.01561
94,0.00569,0.00273,0.00384,0.00366,0.5380212591986917,0.015920000000000004
95,0.00581,0.00278,0.00391,0.00373,0.5437448896156991,0.016229999999999998
96,0.00594,0.00283,0.00397,0.0038,0.5494685200327064,0.01654
97,0.00607,0.00287,0.00404,0.00388,0.5551921504497138,0.01686
98,0.0062,0.00292,0.0041,0.00395,0.5609157808667211,0.01717
99,0.00633,0.00297,0.00417,0.00403,0.5666394112837285,0.017499999999999998
100,0.00646,0.00301,0.00423,0.00411,0.5723630417007358,0.01781
101,0.0066,0.00306,0.0043,0.00418,0.5780866721177432,0.01814
102,0.00673,0.00311,0.00436,0.00426,0.5838103025347506,0.01846
103,0.00687,0.00315,0.00443,0.00434,0.5895339329517579,0.01879
104,0.00701,0.0032,0.00449,0.00442,0.5952575633687653,0.01912
105,0.00715,0.00325,0.00456,0.0045,0.6009811937857726,0.01946
106,0.00729,0.00329,0.00462,0.00457,0.60670482420278,0.01977
107,0.00743,0.00334,0.00469,0.00465,0.6124284546197873,0.02011
108,0.00758,0.00338,0.00475,0.00473,0.6181520850367948,0.02044
109,0.00772,0.00343,0.00482,0.00481,0.623875715453802,0.02078
110,0.00787,0.00348,0.00488,0.0049,0.6295993458708095,0.02113
111,0.00802,0.00352,0.00495,0.00498,0.6353229762878169,0.02147
112,0.00817,0.00357,0.00501,0.00506,0.6410466067048242,0.02181
113,0.00832,0.00361,0.00507,0.00514,0.6467702371218316,0.022139999999999996
114,0.00848,0.00366,0.00514,0.00522,0.6524938675388389,0.022499999999999996
115,0.00863,0.00371,0.0052,0.00531,0.6582174979558463,0.022850000000000002
116,0.00879,0.00375,0.00526,0.00539,0.6639411283728536,0.023190000000000002
117,0.00895,0.0038,0.00533,0.00547,0.669664758789861,0.023549999999999998
118,0.00911,0.00384,0.00539,0.00556,0.6753883892068683,0.0239
119,0.00927,0.00389,0.00545,0.00564,0.6811120196238757,0.02425
120,0.00943,0.00393,0.00551,0.00573,0.6868356500408831,0.024599999999999997
121,0.00959,0.00398,0.00558,0.00581,0.6925592804578904,0.024959999999999996
122,0.00976,0.00402,0.00564,0.0059,0.6982829108748978,0.025320000000000002
123,0.00992,0.00406,0.0057,0.00598,0.7040065412919051,0.025660000000000002
124,0.01009,0.00411,0.00576,0.00607,0.7097301717089125,0.026029999999999998
125,0.01026,0.00415,0.00582,0.00615,0.7154538021259198,0.02638
126,0.01043,0.0042,0.00588,0.00624,0.7211774325429272,0.026749999999999996
127,0.0106,0.00424,0.00594,0.00633,0.7269010629599345,0.027110000000000002
128,0.01078,0.00428,0.006,0.00641,0.7326246933769419,0.02747
129,0.01095,0.00433,0.00606,0.0065,0.7383483237939493,0.027839999999999997
130,0.01113,0.00437,0.00612,0.00659,0.7440719542109566,0.02821
131,0.01131,0.00441,0.00618,0.00668,0.749795584627964,0.02858
132,0.01149,0.00446,0.00624,0.00676,0.7555192150449713,0.028950000000000004
133,0.01167,0.0045,0.0063,0.00685,0.7612428454619787,0.029320000000000002
134,0.01185,0.00454,0.00635,0.00694,0.766966475878986,0.029679999999999998
135,0.01204,0.00458,0.00641,0.00703,0.7726901062959934,0.030060000000000003
136,0.01222,0.00463,0.00647,0.00712,0.7784137367130007,0.03044
137,0.01241,0.00467,0.00653,0.00721,0.7841373671300081,0.03082
138,0.0126,0.00471,0.00658,0.0073,0.7898609975470156,0.03119
139,0.01279,0.00475,0.00664,0.00739,0.7955846279640229,0.03157
140,0.01298,0.00479,0.00669,0.00748,0.8013082583810303,0.03194
141,0.01318,0.00483,0.00675,0.00756,0.8070318887980376,0.03232
142,0.01337,0.00487,0.00681,0.00765,0.812755519215045,0.0327
143,0.01357,0.00491,0.00686,0.00774,0.8184791496320523,0.03308
144,0.01377,0.00495,0.00691,0.00783,0.8242027800490597,0.03346
145,0.01397,0.00499,0.00697,0.00792,0.829926410466067,0.03385
146,0.01417,0.00503,0.00702,0.00801,0.8356500408830744,0.034230000000000003
147,0.01437,0.00507,0.00708,0.0081,0.8413736713000818,0.03462
148,0.01457,0.00511,0.00713,0.0082,0.8470973017170891,0.03501
149,0.01478,0.00515,0.00718,0.00829,0.8528209321340965,0.0354
150,0.01499,0.00519,0.00723,0.00838,0.8585445625511038,0.03579
151,0.01519,0.00523,0.00729,0.00847,0.8642681929681112,0.036180000000000004
152,0.0154,0.00527,0.00734,0.00856,0.8699918233851185,0.036570000000000005
153,0.01562,0.00531,0.00739,0.00865,0.8757154538021259,0.03697
154,0.01583,0.00535,0.00744,0.00874,0.8814390842191332,0.037360000000000004
155,0.01604,0.00539,0.00749,0.00883,0.8871627146361406,0.03775
156,0.01626,0.00542,0.00754,0.00892,0.892886345053148,0.03814
157,0.01648,0.00546,0.00759,0.00901,0.8986099754701553,0.038540000000000005
158,0.0167,0.0055,0.00764,0.0091,0.9043336058871627,0.03894
159,0.01692,0.00554,0.00769,0.00919,0.91005723630417,0.03933999999999999
160,0.01714,0.00558,0.00774,0.00929,0.9157808667211774,0.039749999999999994
161,0.01736,0.00561,0.00779,0.00938,0.9215044971381847,0.04014
162,0.01759,0.00565,0.00783,0.00947,0.9272281275551921,0.04054000000000001
163,0.01781,0.00569,0.00788,0.00956,0.9329517579721994,0.04094
164,0.01804,0.00572,0.00793,0.00965,0.9386753883892068,0.04134
165,0.01827,0.00576,0.00798,0.00974,0.9443990188062142,0.04175000000000001
166,0.0185,0.0058,0.00802,0.00983,0.9501226492232215,0.04214999999999999
167,0.01874,0.00583,0.00807,0.00992,0.955846279640229,0.042559999999999994
168,0.01897,0.00587,0.00812,0.01001,0.9615699100572362,0.04297
169,0.01921,0.00591,0.00816,0.0101,0.9672935404742437,0.04338
170,0.01944,0.00594,0.00821,0.01019,0.973017170891251,0.04378
171,0.01968,0.00598,0.00825,0.01029,0.9787408013082584,0.044199999999999996
172,0.01992,0.00601,0.0083,0.01038,0.9844644317252657,0.044610000000000004
173,0.02016,0.00605,0.00834,0.01047,0.9901880621422731,0.04501999999999999
174,0.02041,0.00608,0.00838,0.01056,0.9959116925592805,0.045430000000000005
175,0.02065,0.00612,0.00843,0.01065,1.0016353229762878,0.04585
176,0.0209,0.00615,0.00847,0.01074,1.0073589533932952,0.04626
177,0.02115,0.00619,0.00851,0.01083,1.0130825838103026,0.04668
178,0.0214,0.00622,0.00856,0.01092,1.0188062142273098,0.047099999999999996
179,0.02165,0.00626,0.0086,0.01101,1.0245298446443172,0.04752
180,0.0219,0.00629,0.00864,0.0111,1.0302534750613246,0.047929999999999987
181,0.02215,0.00633,0.00868,0.01119,1.035977105478332,0.04835
182,0.02241,0.00636,0.00873,0.01128,1.0417007358953392,0.04878
183,0.02267,0.0064,0.00877,0.01137,1.0474243663123466,0.04921
