x	y
0,0018949854	0,3912027868
0,0032463676	0,3672891857
0,0045903537	0,3672891857
0,0059343398	0,3672891857
0,0072888918	0,3331268983
0,0086328779	0,3331268983
0,0099768639	0,3331268983
0,01132085	0,3331268983
0,0126648361	0,3331268983
0,0140384067	0,2374724936
0,0153823928	0,2374724936
0,0167263789	0,2374724936
0,0180925534	0,1657316901
0,0194365394	0,1657316901
0,0207805255	0,1657316901
0,0221245116	0,1657316901
0,0234748372	0,1452343176
0,0248188233	0,1452343176
0,0261628093	0,1452343176
0,0275258141	0,0837422003
0,0288698002	0,0837422003
0,0302137862	0,0837422003
0,0315577723	0,0837422003
0,0329017584	0,0837422003
0,0342510274	0,0666610566
0,0355950135	0,0666610566
0,0369389995	0,0666610566
0,0382882686	0,0495799129
0,0396322546	0,0495799129
0,0409614484	0,0974071153
0,0423054345	0,0974071153
0,0436494205	0,0974071153
0,0449934066	0,0974071153
0,0463299965	0,1213207165
0,0476739826	0,1213207165
0,0490179687	0,1213207165
0,0503619547	0,1213207165
0,0516731864	0,2272238074
0,0530171725	0,2272238074
0,0543611586	0,2272238074
0,0556533716	0,3946190156
0,0569973576	0,3946190156
0,0583413437	0,3946190156
0,0595659348	0,7806528631
0,0609099209	0,7806528631
0,0622539069	0,7806528631
0,063597893	0,7806528631
0,0649418791	0,7806528631
0,0660259433	1,6210451329
0,0673699294	1,6210451329
0,0687139154	1,6210451329
0,0700579015	1,6210451329
0,0711018152	2,5912540947
0,0724458013	2,5912540947
0,0737897874	2,5912540947
0,0747808714	3,7322744935
0,0761248575	3,7322744935
0,0774688436	3,7322744935
0,0785655869	4,5316720184
0,079909573	4,5316720184
0,081253559	4,5316720184
0,0825975451	4,5316720184
0,0839415312	4,5316720184
0,0851714052	4,9006247223
0,0865153913	4,9006247223
0,0878593774	4,9006247223
0,0892033634	4,9006247223
0,0905473495	4,9006247223
0,0920846921	4,275454863
0,0934286781	4,275454863
0,0947726642	4,275454863
0,0961166503	4,275454863
0,0976318044	3,7220258073
0,0989757904	3,7220258073
0,1003197765	3,7220258073
0,10189093	2,9875366284
0,1032349161	2,9875366284
0,1045789022	2,9875366284
0,1060898299	2,4477724877
0,107433816	2,4477724877
0,108777802	2,4477724877
0,1101217881	2,4477724877
0,1114657742	2,4477724877
0,1129333816	2,0480737252
0,1142773677	2,0480737252
0,1156213537	2,0480737252
0,1169653398	2,0480737252
0,118384344	1,8055214848
0,11972833	1,8055214848
0,1210723161	1,8055214848
0,1224913203	1,5629692443
0,1238353063	1,5629692443
0,1251792924	1,5629692443
