,GTR,PR1,x,y
2083,0.94515,0.04043,14.584646161540384,0.9855799999999999
2084,0.94297,0.04036,14.591647911977994,0.9833299999999998
2085,0.9408,0.0403,14.598649662415603,0.9811000000000001
2086,0.93864,0.04024,14.605651412853213,0.9788800000000001
2087,0.93648,0.04017,14.612653163290823,0.97665
2088,0.93433,0.04011,14.619654913728432,0.97444
2089,0.93218,0.04005,14.62665666416604,0.97223
2090,0.93004,0.03999,14.63365841460365,0.9700300000000002
2091,0.92791,0.03992,14.64066016504126,0.9678300000000002
2092,0.92578,0.03986,14.647661915478869,0.9656400000000002
2093,0.92365,0.0398,14.654663665916479,0.9634500000000001
2094,0.92154,0.03974,14.661665416354088,0.96128
2095,0.91942,0.03968,14.668667166791698,0.9591000000000001
2096,0.91732,0.03962,14.675668917229306,0.9569399999999999
2097,0.91522,0.03955,14.682670667666915,0.95477
2098,0.91312,0.03949,14.689672418104525,0.95261
2099,0.91103,0.03943,14.696674168542135,0.95046
2100,0.90895,0.03937,14.703675918979744,0.94832
2101,0.90687,0.03931,14.710677669417354,0.9461799999999999
2102,0.9048,0.03925,14.717679419854964,0.9440500000000001
2103,0.90273,0.03919,14.724681170292573,0.94192
2104,0.90067,0.03913,14.731682920730181,0.9397999999999999
2105,0.89861,0.03907,14.73868467116779,0.9376800000000001
2106,0.89656,0.03901,14.7456864216054,0.9355700000000001
2107,0.89452,0.03895,14.75268817204301,0.9334699999999998
2108,0.89248,0.03889,14.75968992248062,0.93137
2109,0.89044,0.03883,14.76669167291823,0.9292699999999999
2110,0.88841,0.03877,14.773693423355839,0.9271800000000001
2111,0.88639,0.03871,14.780695173793447,0.9251000000000001
2112,0.88437,0.03865,14.787696924231057,0.9230200000000001
2113,0.88236,0.03859,14.794698674668666,0.9209500000000002
2114,0.88035,0.03853,14.801700425106276,0.9188799999999999
2115,0.87835,0.03847,14.808702175543885,0.91682
2116,0.87635,0.03842,14.815703925981495,0.9147699999999999
2117,0.87436,0.03836,14.822705676419105,0.91272
2118,0.87238,0.0383,14.829707426856713,0.9106800000000002
2119,0.8704,0.03824,14.836709177294322,0.9086399999999999
2120,0.86842,0.03818,14.843710927731932,0.9066
2121,0.86646,0.03812,14.850712678169542,0.90458
2122,0.86449,0.03807,14.857714428607151,0.9025600000000001
2123,0.86253,0.03801,14.86471617904476,0.9005399999999999
2124,0.86058,0.03795,14.87171792948237,0.8985299999999998
2125,0.85863,0.03789,14.87871967991998,0.8965200000000001
2126,0.85669,0.03783,14.885721430357588,0.89452
2127,0.85475,0.03778,14.892723180795198,0.89253
2128,0.85282,0.03772,14.899724931232807,0.89054
2129,0.85089,0.03766,14.906726681670417,0.8885500000000001
2130,0.84897,0.03761,14.913728432108027,0.8865799999999999
2131,0.84706,0.03755,14.920730182545636,0.8846100000000001
2132,0.84514,0.03749,14.927731932983246,0.8826300000000001
2133,0.84324,0.03744,14.934733683420854,0.88068
2134,0.84134,0.03738,14.941735433858463,0.87872
2135,0.83944,0.03732,14.948737184296073,0.87676
2136,0.83755,0.03727,14.955738934733683,0.87482
2137,0.83567,0.03721,14.962740685171292,0.87288
2138,0.83379,0.03716,14.969742435608902,0.87095
2139,0.83191,0.0371,14.976744186046512,0.8690100000000002
2140,0.83004,0.03704,14.98374593648412,0.8670800000000001
2141,0.82818,0.03699,14.990747686921729,0.8651699999999999
2142,0.82632,0.03693,14.997749437359339,0.86325
2143,0.82446,0.03688,15.004751187796948,0.8613400000000001
2144,0.82261,0.03682,15.011752938234558,0.8594299999999998
2145,0.82077,0.03677,15.018754688672168,0.85754
2146,0.81893,0.03671,15.025756439109777,0.8556400000000001
2147,0.8171,0.03666,15.032758189547387,0.8537600000000001
2148,0.81527,0.0366,15.039759939984995,0.85187
2149,0.81344,0.03655,15.046761690422604,0.8499899999999999
2150,0.81162,0.03649,15.053763440860214,0.84811
2151,0.80981,0.03644,15.060765191297824,0.84625
2152,0.808,0.03639,15.067766941735433,0.8443900000000002
2153,0.8062,0.03633,15.074768692173043,0.8425300000000002
2154,0.8044,0.03628,15.081770442610653,0.84068
2155,0.8026,0.03622,15.08877219304826,0.83882
