E	S		S		S		S		S					
MeV	1/MeV		1/MeV		1/MeV		1/MeV		1/MeV					
		GT BW	S-GT BW	GT G	S-GT G	PR1 BW	S-PR1  BW	PR1 G	S-PR1  G	QG	QBW	QT	QE	QG
3.5	0.315	0.175079562938797	0.139920437061203	9.66334856465692E-4	0.314033665143534	0.0220371996500503	0.117883237411153	0.00452117667497103	0.309512488468563	0.464790887209813	0.37419282492757	0.324412103030951	0.36016	0.464790887209813
3.6	0.3	0.183863633828911	0.116136366171089	0.00111253084097152	0.298887469159028	0.022944029610604	0.0931923365604848	0.00563239785701074	0.293255071302018	0.495820427258878	0.39791424836893	0.347748336196894	0.394	0.495820427258878
3.7	0.29	0.192735631668276	0.0972643683317243	0.00127926061507263	0.288720739384927	0.0239069701338689	0.0733573981978554	0.00698453653595632	0.281736202848971	0.524535589094231	0.420086314793385	0.37050667692485	0.4235	0.524535589094231
3.8	0.265	0.20168751618302	0.0633124838169801	0.00146915817465488	0.263530841825345	0.0249306874919144	0.0383817963250657	0.00862152883553802	0.254909312989807	0.553665469504354	0.443008213250334	0.394981420223022	0.45125	0.553665469504354
3.9	0.27	0.210711982974636	0.0592880170253642	0.00168515804823174	0.268314841951768	0.0260203195155279	0.0332676975098363	0.0105933519012956	0.257721490050473	0.583147040655186	0.466774174161432	0.421504294589	0.478	0.583147040655186
4	0.3	0.219802503785502	0.0801974962144975	0.00193052432486393	0.298069475675136	0.0271815385518429	0.0530159576626546	0.0129564175707595	0.285113058104377	0.609932299394541	0.488936268323098	0.447463131638538	0.503515	0.609932299394541
4.1	0.31	0.22895336070889	0.08104663929111	0.00220888178430647	0.307791118215694	0.0284206214748168	0.0526260178162933	0.0157738932022857	0.292017225013408	0.642935136306676	0.517065990303199	0.482204145875106	0.537	0.642935136306676
4.2	0.295	0.238159674389021	0.0568403256109787	0.00252424919084984	0.29247575080915	0.0297445286430392	0.0270957969679395	0.0191159232646677	0.273359827544482	0.673142764940471	0.543669659582102	0.516332809606476	0.56725	0.673142764940471
4.3	0.28	0.247417426318929	0.0325825736810708	0.0028810748012576	0.277118925198742	0.0311609937542862	0.00142157992678462	0.0230597228669597	0.254059202331783	0.700465033222278	0.568476909439576	0.54809627686574	0.5931925	0.700465033222278
4.4	0.275	0.256723475401928	0.0182765245980718	0.00328427412399519	0.271715725876005	0.0326786267011441	-0.0144021021030723	0.0276895126134804	0.244026213262524	0.734004849456677	0.599935617397095	0.586888150673875	0.62375	0.734004849456677
4.5	0.235	0.266075568995968	-0.0310755689959676	0.00373926995144006	0.23126073004856	0.0343070317812233	-0.0653826007771909	0.0330962632221569	0.198164466826403	0.761554277145114	0.626626072158616	0.61826184568176	0.64688	0.761554277145114
4.6	0.305	0.275472348708487	0.0295276512915127	0.00425203466881929	0.300747965331181	0.0360569439559854	-0.00652929266447264	0.0393772184694075	0.261370746861773	0.795358479691276	0.660435452102542	0.656450147225894	0.67625	0.795358479691276
4.7	0.285	0.284913351252286	8.66487477144684E-5	0.00482913482310118	0.280170865176899	0.0379403862845973	-0.0378537375368829	0.046635166439268	0.233535698737631	0.826234025268051	0.692327563319091	0.69143529873309	0.70575	0.826234025268051
4.8	0.295	0.29439900471007	6.00995289929851E-4	0.00547777791185693	0.289522222088143	0.0399708521875177	-0.0393698568975879	0.0549774319560556	0.234544790132087	0.857282270971113	0.725343492344332	0.727020728718968	0.73475	0.857282270971113
4.9	0.29	0.303930620586613	-0.0139306205866128	0.00620586132610687	0.283794138673893	0.0421635168253783	-0.0560941374119911	0.0645145676312391	0.219279571042654	0.888555796479128	0.759505919094917	0.763449722819211	0.764	0.888555796479128
5	0.35	0.313510382052699	0.0364896179473008	0.00702202335229694	0.342977976647703	0.0445354826200557	-0.00804586467275492	0.0753587272683124	0.267619249379391	0.916953341135144	0.791252116025387	0.797104172157349	0.79253	0.916953341135144
5.1	0.31	0.323141328804361	-0.0131413288043614	0.00793569610676871	0.302064303893231	0.047106064803676	-0.0602473936080374	0.0876217134897015	0.21444259040353	0.952084562089613	0.831367722544045	0.839502227151582	0.829	0.952084562089613
5.2	0.305	0.332827338974284	-0.0278273389742843	0.00895716024137034	0.29604283975863	0.0498971238605475	-0.0777244628348318	0.101412701340956	0.194630138417673	0.984541877697003	0.869120435431971	0.879366174135499	0.85975	0.984541877697003
5.3	0.35	0.342573108539984	0.00742689146001585	0.0100976012212296	0.33990239877877	0.0529334528203051	-0.0455065613602892	0.11683565115931	0.223066747619461	1.01762874871709	0.908127151439064	0.920582848390489	0.8925	1.01762874871709
5.4	0.32	0.352384128675573	-0.0323841286755731	0.0113691669352327	0.308630833064767	0.0562432285440737	-0.0886273572196468	0.133986436932096	0.174644396132671	1.05149498325316	0.948421052748737	0.963236594576578	0.926	1.05149498325316
5.5	0.4	0.362266661490973	0.0377333385090267	0.0127850263565281	0.387214973643472	0.0598585373650322	-0.0221251988560055	0.15294973037287	0.234265243270602	1.08277952079912	0.985816294494423	1.00292124962053	0.95804	1.08277952079912
5.6	0.45	0.372227714594663	0.0777722854053371	0.0143594289245654	0.435640571075435	0.0638159865951342	0.0139562988102029	0.173795695558799	0.261844875516636	1.12225487259183	1.03302085554822	1.05318318731565	1.0045	1.12225487259183
5.7	0.55	0.382275014903815	0.167724985096185	0.0161077642719851	0.533892235728015	0.0681574143020354	0.0995675707941497	0.196576563650793	0.337315672077222	1.15953383841688	1.07741247220842	1.10064379752933	1.0545	1.15953383841688
5.8	0.4	0.392416982109468	0.00758301789053223	0.0180466218693762	0.381953378130624	0.0729307100706675	-0.0653476921801352	0.221323171319934	0.16063020681069	1.19835885330536	1.1232639396181	1.1498792758737	1.102	1.19835885330536
5.9	0.495	0.402662702184553	0.0923372978154473	0.020193850108833	0.474806149891167	0.0781907586537909	0.0141465391616564	0.248041559327296	0.226764590563871	1.23895362333754	1.17063152089643	1.20097910531697	1.14675	1.23895362333754
6	0.44	0.413021901299708	0.0269780987002925	0.0225686142937721	0.417431385706228	0.0840005156082277	-0.0570224169079352	0.276709738509432	0.140721647196796	1.27719299051692	1.2146105573092	1.24863410164627	1.1890725	1.27719299051692
6.1	0.445	0.42350492048623	0.0214950795137699	0.0251914529480697	0.41980854705193	0.0904322178036932	-0.0689371382899232	0.307274738466865	0.112533808585065	1.32638104900291	1.27017482720565	1.30910236766984	1.23775	1.32638104900291
6.2	0.53	0.434122691357774	0.0958773086422257	0.0280843318027823	0.501915668197218	0.0975687198611249	-0.00169141121889925	0.339650058833194	0.162265609364024	1.37368453723707	1.32250076779709	1.36624603885944	1.2865	1.37368453723707
6.3	0.59	0.444886713172875	0.145113286827125	0.0312706947641102	0.55872930523589	0.105504926671966	0.0396083601551592	0.373713643492586	0.185015661743303	1.42369185604554	1.37664551257429	1.42546583470958	1.3425	1.42369185604554
6.4	0.44	0.455809031489533	-0.0158090314895328	0.034775511112528	0.405224488887472	0.114349256866096	-0.130158288355629	0.409306494010851	-0.00408200512337925	1.47662749130135	1.43270981051441	1.48671471336728	1.394	1.47662749130135
6.5	0.555	0.466902218631312	0.0880977813686881	0.0386253181308592	0.516374681869141	0.124225014441058	-0.0361272330723697	0.446232029510528	0.070142652358613	1.52694934468377	1.48490243793413	1.54349314349998	1.4382575	1.52694934468377
6.6	0.5	0.47817935615199	0.0218206438480101	0.0428482583093273	0.457151741690673	0.135271453978069	-0.113450810130059	0.484256286114327	-0.0271045444236538	1.59211826893837	1.55106555790652	1.61487592936335	1.4965	1.59211826893837
6.7	0.56	0.48965401945317	0.0703459805468298	0.0474741102291091	0.512525889770891	0.147644182235633	-0.0772982016888028	0.523109029992986	-0.0105831402220952	1.65504640472771	1.61362887935156	1.68153450679542	1.5495	1.65504640472771
6.8	0.6	0.501340264676593	0.0986597353234072	0.0525343121835746	0.547465687816425	0.161514322921334	-0.0628545875979267	0.562485834320075	-0.0150201465036495	1.72164074521235	1.67865883192227	1.74978470168253	1.6075	1.72164074521235
6.9	0.63	0.513252617960436	0.116747382039564	0.0580619775591835	0.571938022440817	0.177065554498944	-0.0603181724593806	0.602051142647943	-0.0301131202071263	1.79202570929901	1.74633628325777	1.81960069532383	1.669	1.79202570929901
7	0.775	0.525406067116868	0.249593932883132	0.0640919009668914	0.710908099033109	0.194487685234186	0.0551062476489463	0.641442310212821	0.0694657888202881	1.85869098206634	1.80967536641712	1.88380180873302	1.7315725	1.85869098206634
7.1	0.775	0.537816055756538	0.237183944243462	0.0706605540909801	0.70433944590902	0.213964841966825	0.0232191022766371	0.680274581513796	0.0240648643952238	1.944506936284	1.89045831629675	1.96411990643331	1.81675	1.944506936284
7.2	0.785	0.550498479854757	0.234501520145243	0.0778060702064453	0.707193929793555	0.235655654243044	-0.00115413409780113	0.71814692843797	-0.0109529986444148	2.0266860442642	1.96736461150549	2.03902513773367	1.89475	2.0266860442642
7.3	0.85	0.563469686723664	0.286530313276336	0.0855682163095709	0.764431783690429	0.259662164328669	0.0268681489476671	0.754648639607039	0.00978314408339032	2.1128177550082	2.04783644890057	2.11587000653296	1.9765	2.1128177550082
7.4	0.76	0.576746476324818	0.183253523675182	0.0939883518100765	0.666011648189924	0.285983969174782	-0.102730445499599	0.789366519957941	-0.123354871768018	2.20284951214349	2.13213626095648	2.19479985601335	2.057	2.20284951214349
7.5	0.875	0.590346104827121	0.284653895172879	0.103109372748296	0.771890627251704	0.314455076245047	-0.0298011810721689	0.821892531305	-0.0500019040532956	2.2871382730384	2.21149135473503	2.26774101363162	2.1300575	2.2871382730384
7.6	1	0.604286290285724	0.395713709714276	0.112975640528194	0.887024359471806	0.344664416149965	0.0510492935643113	0.851831681154951	0.0351926783168545	2.39421197056103	2.31321901359085	2.35950008441099	2.2325	2.39421197056103
7.7	1.015	0.618585220288229	0.396414779711771	0.12363289419755	0.89136710580245	0.37586852628435	0.0205462534274211	0.878809949603495	0.0125571561989554	2.49524990510662	2.41040672435259	2.44555238620341	2.33325	2.49524990510662
7.8	1	0.63326156138496	0.36673843861504	0.135128145361203	0.864871854638797	0.406917596789609	-0.0401791581745691	0.902482033757648	-0.0376101791188513	2.5996064943286	2.51216599604475	2.53424620663757	2.434	2.5996064943286
7.9	1.1	0.648334470089735	0.451665529910265	0.147509554882562	0.952490445117439	0.43623190390369	0.0154336260065748	0.922538686544953	0.0299517585724852	2.70705390751829	2.61844451601341	2.62569461217045	2.539	2.70705390751829
8	1.16	0.663823605206291	0.496176394793708	0.16082629061324	0.99917370938676	0.461876525269181	0.034299869524527	0.938713432398229	0.0604602769885312	2.80618980770208	2.71777542353413	2.71043110086887	2.64043	2.80618980770208
8.1	1.185	0.679749141202608	0.505250858797392	0.17512836549123	1.00987163450877	0.481773001120612	0.0234778576767804	0.950788456186673	0.0590831783220974	2.91879229136755	2.83184840715197	2.80734962123664	2.7574125	2.91879229136755
8.2	1.1	0.696131782320423	0.403868217679577	0.190466455464673	0.909533544535327	0.494043005566927	-0.09017478788735	0.958599483562753	-0.0490659390274263	3.04529939352919	2.96111988591321	2.91736679435581	2.8835	3.04529939352919
8.3	1.23	0.712992777069636	0.517007222930364	0.206891696831262	1.02310830316874	0.497406606521887	0.0196006164084764	0.962039499896726	0.0610688032720118	3.16238229472922	3.08124059702626	3.02047763804657	3	3.16238229472922
8.4	1.24	0.730353932716389	0.509646067283611	0.224455462732488	1.01554453726751	0.491496265577817	0.0181498017057939	0.961061190115703	0.0544833471518086	3.28112562526565	3.20294301195962	3.12648749399704	3.1235	3.28112562526565
8.5	1.19	0.748237629328695	0.441762370671305	0.243209118707103	0.946790881292897	0.476952994180759	-0.0351906235094536	0.955678021689796	-0.00888714039689942	3.38916162639461	3.31312128618251	3.22429656180775	3.233075	3.38916162639461
8.6	1.21	0.766666832893874	0.443333167106126	0.263203757388702	0.946796242611298	0.455260355989163	-0.0119271888830371	0.945963936114757	8.32306496540536E-4	3.51022415023347	3.43557119366791	3.33551075468217	3.35291	3.51022415023347
8.7	1.25	0.7856651069668	0.4643348930332	0.284489912627609	0.965510087372391	0.428391864228472	0.0359430288047277	0.932051658770666	0.0334584286017252	3.64430677797831	3.56964041095049	3.46072022559351	3.488	3.64430677797831
8.8	1.29	0.805256622246394	0.484743377753606	0.307117253526181	0.982882746473819	0.398415762851183	0.0863276149024231	0.91412968116019	0.068753065313629	3.76674231035249	3.69055574183037	3.57692711851205	3.615	3.76674231035249
8.9	1.175	0.82546616340886	0.34953383659114	0.331134259097966	0.843865740902034	0.367183522235617	-0.0176496856444769	0.892438011438817	-0.0485722705367836	3.88944550473106	3.81038614110831	3.69516157121807	3.73825	3.88944550473106
9	1.21	0.846319132449035	0.363680867550965	0.356587874493378	0.853412125506621	0.336158172993224	0.0275226945577406	0.867262827145003	-0.013850701638382	3.99993264792286	3.91731477714696	3.80311514317745	3.8454175	3.99993264792286
9.1	1.09	0.867841547694846	0.222158452305154	0.383523149975846	0.706476850024154	0.306371626016583	-0.0842131737114284	0.838930196617205	-0.132453346593051	4.12259270954619	4.03522891393699	3.92458113363148	3.96154	4.12259270954619
9.2	1.15	0.890060037563428	0.259939962436572	0.411982864080684	0.738017135919316	0.278466750634629	-0.0185267881980566	0.807799061511311	-0.0697819255919947	4.2572302590265	4.16410430574605	4.0598293759374	4.0845	4.2572302590265
9.3	1.175	0.913001828019807	0.261998171980193	0.442007132641953	0.732992867358047	0.252778056360556	0.00922011561963687	0.774253691194415	-0.0412608238363682	4.37925642452862	4.28080845758028	4.18411936195895	4.20075	4.37925642452862
9.4	1.27	0.936694722579457	0.333305277420543	0.473633005627726	0.796366994372274	0.229418330380177	0.103886947040366	0.738695830040174	0.0576711643320996	4.50086922536569	4.39739104366919	4.30959140941889	4.323	4.50086922536569
9.5	1.19	0.961167073563544	0.228832926436456	0.506894053978691	0.683105946021309	0.208354036492091	0.0204788899443642	0.701536760618484	-0.0184308145971753	4.60995558043502	4.50246664847744	4.423494581431	4.43406	4.60995558043502
9.6	1.2	0.986447743169603	0.213552256830397	0.541819948895912	0.658180051104088	0.189463556315148	0.0240887005152489	0.663189499666504	-0.00500944856241548	4.74284594271116	4.6314210232293	4.56397561815774	4.5655	4.74284594271116
9.7	1.17	1.01256605276019	0.157433947239806	0.578436036267718	0.591563963732282	0.172578629950257	-0.0151446827104507	0.624061330111369	-0.032497366379087	4.86331406894859	4.7494633458907	4.69294305891536	4.684	4.86331406894859
9.8	1.27	1.03955171859755	0.230448281402452	0.616762909159741	0.653237090840259	0.157511968991431	0.0729363124110205	0.584546852162064	0.0686902386781945	4.98357542959433	4.86856426075136	4.82318992966674	4.806	4.98357542959433
9.9	1.145	1.06743477206326	0.0775652279367434	0.656815981512676	0.488184018487324	0.144074552017463	-0.0665093240807201	0.545021710729221	-0.0568376922418967	5.10378534754632	4.98898435700579	4.95482144915575	4.92675	5.10378534754632
10	1.23	1.09624546219944	0.133754537800556	0.698605066396028	0.531394933603972	0.132085712336441	0.0016688254641157	0.50583712648571	0.0255578071182619	5.21208867361826	5.0986931882834	5.07457557854264	5.0332425	5.21208867361826
10.1	1.14	1.12601413819257	0.0139858618074336	0.742133962349227	0.397866037650773	0.12137843873786	-0.107392576930426	0.467315325180635	-0.0694492875298614	5.34485483715741	5.23474794502163	5.22274548007555	5.164	5.34485483715741
10.2	1.28	1.15677110919507	0.123228890804933	0.787400051500816	0.492599948499184	0.111801636349608	0.0114272544553248	0.429745925834791	0.0628540226643925	5.46619769731518	5.36053990694223	5.35931821708311	5.285	5.46619769731518
10.3	1.34	1.18854647864654	0.151453521353459	0.834393913288351	0.505606086711649	0.103220545789785	0.0482329755636747	0.39338331461155	0.112222772100099	5.58844802672396	5.48855110382964	5.49782765231751	5.416	5.58844802672396
10.4	1.275	1.22136995001898	0.0536300499810214	0.883098957703031	0.391901042296969	0.0955161111667575	-0.0418860611857361	0.358444998804222	0.0334560434927469	5.71191099575227	5.61897836933345	5.63842343238123	5.54675	5.71191099575227
10.5	1.19	1.25527060067596	-0.0652706006759649	0.933491082050821	0.256508917949179	0.0885838014330962	-0.153854402109061	0.325110905680128	-0.0686019877309493	5.82433097019957	5.73858467809046	5.76686675006737	5.6580575	5.82433097019957
10.6	1.28	1.29027662031086	-0.0102766203108613	0.985538355252997	0.294461644747003	0.0823321965155766	-0.0926088168264379	0.293523564838166	9.38079908836986E-4	5.96377915059069	5.88782860909107	5.92646868947346	5.7935	5.96377915059069
10.7	1.265	1.32641501022415	-0.0614150102241524	1.03920073370121	0.225799266298789	0.0766815230937941	-0.138096533317947	0.263789091000349	-0.0379898247015598	6.09286485018727	6.02660916824206	6.07420995167067	5.92075	6.09286485018727
10.8	1.5	1.36371123952768	0.136288760472315	1.09442981263301	0.405570187366991	0.0715622440089041	0.064726516463411	0.235978867247105	0.169591320119886	6.22451539092149	6.16852305795081	6.22461967771768	6.059	6.22451539092149
10.9	1.29	1.40218885423934	-0.112188854239341	1.15116861690146	0.13883138309854	0.0669137548210941	-0.179102609060435	0.210131816846676	-0.0713004337481358	6.359079785711	6.3137373063346	6.37783541943128	6.1985	6.359079785711
11	1.42	1.4418690351751	-0.0218690351750988	1.20935143487589	0.210648565124111	0.0626832104011765	-0.0845522455762752	0.186257145005979	0.0243914201181321	6.48296450910586	6.44738721854879	6.51823932067594	6.319865	6.48296450910586
11.1	1.61	1.48277010057983	0.127229899420171	1.26890369902851	0.341096300971494	0.0588244864889997	0.0684054129311709	0.164337429852027	0.176758871119467	6.63832329189019	6.61471833575642	6.69321582080143	6.4855	6.63832329189019
11.2	1.47	1.52490694959162	-0.0549069495916164	1.329741916534	0.140258083465997	0.055297271161963	-0.110204220753579	0.144331944322864	-0.00407386085686701	6.78366678999053	6.77080375328816	6.85563594477466	6.6395	6.78366678999053
11.3	1.48	1.56829044293955	-0.0882904429395452	1.39177365293575	0.0882263470642461	0.0520662760705261	-0.140356719010071	0.126180096842897	-0.0379537497786508	6.9332464998036	6.9308272830857	7.02137285922708	6.787	6.9332464998036
11.4	1.53	1.61292671776973	-0.0829267177697344	1.45489757161424	0.0751024283857649	0.0491005551571557	-0.13202727292689	0.109804888013725	-0.0347024596279598	7.08735858311766	7.09494198668199	7.19054395707812	6.9375	7.08735858311766
11.5	1.605	1.65881643422165	-0.0538164342216547	1.5190035314318	0.0859964685682022	0.0463729181460115	-0.100189352367666	0.095116292341896	-0.00911982377369377	7.23016414752144	7.24626762237622	7.34582769471396	7.0782375	7.23016414752144
11.6	1.42	1.7059539523839	-0.285953952383902	1.58397274452518	-0.163972744525175	0.0438594266052301	-0.329813378989132	0.0820144875039713	-0.245987232029146	7.41026757294061	7.43604414147115	7.53963633271539	7.2455	7.41026757294061
