E [MeV],S(E) [a.u.],,76Ge,,74Ge,,Sum,
0.00290609272905733,1.4525903115681,,0.00511176591711343,,2.04544034179342E-5,,0.00513222032053136,
0.00718345579644438,1.37868522017158,,0.00739580453877054,,8.55550852610403E-5,,0.00748135962403158,
0.0114988962798616,1.37868839328958,,0.00945041096173456,,1.51945990471243E-4,,0.00960235695220581,
0.0156408729791414,1.04199836139697,,0.0112241029956491,,2.04986663823226E-4,,0.0114290896594723,
0.0198230425064531,0.78332260871414,,0.0130279493369919,,2.49583927362915E-4,,0.0132775332643548,
0.0240411740377933,0.594449105850579,,0.0148721209359455,,2.86942904762259E-4,,0.0151590638407078,
0.0282677672171401,0.421999661768024,,0.0167324139587012,,3.19538652339828E-4,,0.017051952611041,
0.0325345532245188,0.327564496895246,,0.018635329159893,,3.50234949312625E-4,,0.0189855641092056,
0.0368013392318975,0.233129332022465,,0.020612984301655,,3.80132141861267E-4,,0.0209931164435163,
0.0411231259513197,0.245450549226223,,0.0227798647066909,,4.10003950658366E-4,,0.0231898686573493,
0.0454999133827855,0.364528148506515,,0.0252679781738886,,4.39798165932087E-4,,0.0257077763398207,
0.0499232398782882,0.573938071082337,,0.028256419915573,,4.69336957382604E-4,,0.0287257568729556,
0.0544142595578444,0.914740463906204,,0.0320295005781166,,4.9869987013244E-4,,0.032528200448249,
0.0587297000412616,0.914743637024206,,0.036709142951323,,5.26349463752497E-4,,0.0372354924150755,
0.0634068759769653,1.61687532303019,,0.0435860685766509,,5.55767236458949E-4,,0.0441418358131099,
0.0682236691047795,2.59000397892277,,0.053874155629528,,5.85559186689236E-4,,0.0544597148162172,
0.0731271941246624,3.73147923732066,,0.0703013112733231,,6.15447521617478E-4,,0.0709167587949406,
0.0778530245364046,4.52804926131743,,0.0972816097473025,,6.43889098288619E-4,,0.0979254988455912,
0.0823228900959441,4.82779150718878,,0.144897754204498,,6.70491458858166E-4,,0.145568245663356,
0.0866742925833897,4.89759693012605,,0.24418989618421,,6.96124887058916E-4,,0.244886021071269,
0.090989733066807,4.89760010324406,,0.516595982698272,,7.21299151838424E-4,,0.517317281850111,
0.0949836309259695,4.27348904268385,,1.63153488537624,,7.4438717070289E-4,,1.63227927254694,
0.0990156062011623,3.72328624663817,,40.6737214293691,,7.67501598136156E-4,,40.6744889309673,
0.102950272524278,2.98420677461092,,4.67667275915718,,7.89885440062167E-4,,4.67746264459724,
