,GTR_gauss,PR1,PR2,PR3,x,y
0,0.0001049293376218371,0.0,0.0,0.0,0.0,0.0001049293376218371
1,0.00010602201774976361,0.0,0.0,0.0,0.005723630417007359,0.00010602201774976362
2,0.00010712549913679716,0.0,0.0,0.0,0.011447260834014717,0.00010712549913679718
3,0.00010823988224668365,1e-05,1e-05,1e-05,0.017170891251022075,0.00013823988224668366
4,0.00010936526841134596,1e-05,1e-05,1e-05,0.022894521668029435,0.00013936526841134596
5,0.00011050175983772088,1e-05,2e-05,1e-05,0.028618152085036794,0.00015050175983772086
6,0.0001116494596146413,2e-05,3e-05,2e-05,0.03434178250204415,0.0001816494596146413
7,0.00011280847171976618,3e-05,4e-05,3e-05,0.04006541291905151,0.00021280847171976618
8,0.00011397890102656006,4e-05,5e-05,4e-05,0.04578904333605887,0.0002439789010265601
9,0.00011516085331131878,5e-05,6e-05,5e-05,0.05151267375306623,0.0002751608533113188
10,0.00011635443526024534,6e-05,8e-05,6e-05,0.05723630417007359,0.00031635443526024535
11,0.00011755975447657311,7e-05,9e-05,7e-05,0.06295993458708095,0.00034755975447657307
12,0.00011877691948773888,9e-05,0.00011,9e-05,0.0686835650040883,0.00040877691948773895
13,0.00012000603975260496,0.0001,0.00013,0.0001,0.07440719542109567,0.000450006039752605
14,0.00012124722566873077,0.00012,0.00015,0.00012,0.08013082583810302,0.0005112472256687308
15,0.0001225005885796949,0.00013,0.00017,0.00014,0.08585445625511039,0.000562500588579695
16,0.00012376624078246664,0.00015,0.0002,0.00015,0.09157808667211774,0.0006237662407824667
17,0.00012504429553482626,0.00017,0.00022,0.00018,0.09730171708912509,0.0006950442955348265
18,0.0001263348670628412,0.00019,0.00025,0.0002,0.10302534750613246,0.0007663348670628413
19,0.00012763807056838687,0.00022,0.00028,0.00022,0.10874897792313981,0.000847638070568387
20,0.00012895402223672242,0.00024,0.00031,0.00024,0.11447260834014718,0.0009189540222367225
21,0.0001302828392441179,0.00027,0.00034,0.00027,0.12019623875715453,0.001010282839244118
22,0.00013162463976553173,0.00029,0.00037,0.00029,0.1259198691741619,0.0010816246397655318
23,0.00013297954298234127,0.00032,0.00041,0.00032,0.13164349959116925,0.001182979542982341
24,0.00013434766909012542,0.00035,0.00045,0.00035,0.1373671300081766,0.0012843476690901252
25,0.0001357291393065009,0.00038,0.00048,0.00038,0.14309076042518395,0.0013757291393065008
26,0.00013712407587900907,0.00041,0.00052,0.00041,0.14881439084219134,0.001477124075879009
27,0.00013853260209305878,0.00044,0.00057,0.00045,0.1545380212591987,0.0015985326020930587
28,0.00013995484227992077,0.00047,0.00061,0.00048,0.16026165167620604,0.0016999548422799208
29,0.00014139092182477697,0.00051,0.00065,0.00052,0.1659852820932134,0.001821390921824777
30,0.00014284096717482402,0.00054,0.0007,0.00055,0.17170891251022077,0.0019328409671748245
31,0.00014430510584742995,0.00058,0.00075,0.00059,0.17743254292722813,0.0020643051058474304
32,0.00014578346643834603,0.00062,0.0008,0.00063,0.18315617334423548,0.002195783466438346
33,0.00014727617862997505,0.00066,0.00085,0.00067,0.18887980376124283,0.002327276178629975
34,0.00014878337319969295,0.0007,0.0009,0.00071,0.19460343417825018,0.002458783373199693
35,0.00015030518202822704,0.00074,0.00096,0.00075,0.20032706459525756,0.002600305182028227
36,0.0001518417381080896,0.00078,0.00101,0.0008,0.20605069501226492,0.0027418417381080895
37,0.00015339317555206923,0.00083,0.00107,0.00084,0.21177432542927227,0.0028933931755520696
38,0.00015495962960177423,0.00087,0.00113,0.00089,0.21749795584627962,0.0030449596296017747
39,0.00015654123663624042,0.00092,0.00119,0.00094,0.223221586263287,0.0032065412366362404
40,0.00015813813418058783,0.00097,0.00125,0.00099,0.22894521668029436,0.003368138134180588
41,0.00015975046091473998,0.00102,0.00132,0.00104,0.2346688470973017,0.0035397504609147403
42,0.00016137835668219883,0.00107,0.00138,0.00109,0.24039247751430906,0.003701378356682199
43,0.00016302196249887895,0.00112,0.00145,0.00114,0.2461161079313164,0.0038730219624988783
44,0.0001646814205619984,0.00117,0.00152,0.0012,0.2518397383483238,0.004054681420561999
45,0.00016635687425902945,0.00122,0.00159,0.00125,0.25756336876533115,0.0042263568742590294
46,0.00016804846817670713,0.00127,0.00166,0.00131,0.2632869991823385,0.004408048468176709
47,0.00016975634811009955,0.00133,0.00174,0.00137,0.26901062959934585,0.0046097563481101
48,0.00017148066107173203,0.00138,0.00181,0.00143,0.2747342600163532,0.004791480661071732
49,0.0001732215553007793,0.00144,0.00189,0.00149,0.28045789043336056,0.00499322155530078
50,0.00017497918027230944,0.0015,0.00197,0.00155,0.2861815208503679,0.00519497918027231
51,0.00017675368670659562,0.00156,0.00205,0.00161,0.2919051512673753,0.005396753686706597
52,0.0001785452265784822,0.00161,0.00213,0.00168,0.29762878168438267,0.0055985452265784824
53,0.00018035395312681593,0.00167,0.00221,0.00174,0.30335241210139,0.0058003539531268165
54,0.0001821800208639382,0.00174,0.00229,0.00181,0.3090760425183974,0.0060221800208639376
55,0.00018402358558523708,0.0018,0.00238,0.00187,0.31479967293540473,0.006234023585585237
56,0.00018588480437876256,0.00186,0.00247,0.00194,0.3205233033524121,0.006455884804378763
57,0.00018776383563490553,0.00192,0.00256,0.00201,0.32624693376941943,0.006677763835634907
58,0.00018966083905613484,0.00199,0.00265,0.00208,0.3319705641864268,0.006909660839056135
59,0.0001915759756668029,0.00205,0.00274,0.00216,0.33769419460343414,0.007141575975666803
60,0.0001935094078230117,0.00212,0.00283,0.00223,0.34341782502044155,0.007373509407823012
