Neutrino energy,discrete levels,only GTR,total
1.42,0.5649116990415631,0.0,0.5649116990415631
1.43,0.5779542595049892,0.0,0.5779542595049892
1.44,0.598510883817848,0.0,0.598510883817848
1.45,0.6234348314856166,0.0,0.6234348314856166
1.46,0.6947728081165501,0.0,0.6947728081165501
1.47,0.7132934023021601,0.0,0.7132934023021601
1.48,0.7290613363379637,0.0,0.7290613363379637
1.49,0.7468102979544107,0.0,0.7468102979544107
1.5,0.7634960924071973,0.0,0.7634960924071973
1.51,0.7818154266924386,0.0,0.7818154266924386
1.52,0.7991378392800298,0.0,0.7991378392800298
1.53,0.8174385339590806,0.0,0.8174385339590806
1.54,0.8356662199518241,0.0,0.8356662199518241
1.55,0.8534251708454116,0.0,0.8534251708454116
1.56,0.8726523285929499,0.0,0.8726523285929499
1.57,0.8916942804300011,0.0,0.8916942804300011
1.58,0.9104978426499757,0.0,0.9104978426499757
1.59,0.9301075784465412,0.0,0.9301075784465412
1.6,0.9497025332076796,0.0,0.9497025332076796
1.61,0.9691845849438997,0.0,0.9691845849438997
1.62,0.9890188914566441,0.0,0.9890188914566441
1.6300000000000001,1.0090557171975802,1.4430312010168538e-07,1.0090558615007004
1.6400000000000001,1.0290490025386716,3.596809112982261e-07,1.0290493622195829
1.6500000000000001,1.0494439838504874,5.750587024947668e-07,1.0494445589091899
1.6600000000000001,1.0705044265177446,7.904364936913074e-07,1.0705052169542382
1.67,1.0915952119057537,1.0058142848878433e-06,1.0915962177200387
1.68,1.1127641510094124,1.221192076084384e-06,1.1127653722014885
1.69,1.134011993691189,1.4365698672809248e-06,1.1340134302610563
1.7,1.1552917500611504,1.6519476584774656e-06,1.1552934020088088
1.71,1.1766022346474216,1.8673254496740061e-06,1.1766041019728712
1.72,1.1979420701451984,2.082703240870547e-06,1.1979441528484394
1.73,1.219704645035474,2.647487693580015e-06,1.2197072925231676
1.74,1.2420569363834597,3.384367964646602e-06,1.2420603207514243
1.75,1.2645817333475609,4.121248235713189e-06,1.2645858545957966
1.76,1.2871884218857892,4.858128506779777e-06,1.287193280014296
1.77,1.3098978230538239,5.595008777846364e-06,1.3099034180626017
1.78,1.3327446675934136,6.331889048912951e-06,1.3327509994824625
1.79,1.3582517769002456,7.068769319979539e-06,1.3582588456695655
1.8,1.385158430177301,7.805649591046125e-06,1.3851662358268921
1.81,1.4292432517348814,8.542529862112713e-06,1.4292517942647436
1.82,1.4546880781710398,9.2794101331793e-06,1.454697357581173
1.83,1.4792186361758488,1.0218696675269553e-05,1.479228854872524
1.84,1.5047190408375644,1.1257675858311762e-05,1.5047302985134228
1.85,1.5298872187485668,1.2296655041353972e-05,1.5298995154036081
1.86,1.5559677262189244,1.3335634224396181e-05,1.5559810618531489
1.87,1.5837724765770909,1.437461340743839e-05,1.5837868511904982
1.8800000000000001,1.6237402880154579,1.5413592590480602e-05,1.6237557016080484
1.8900000000000001,1.654264906452754,1.6452571773522813e-05,1.6542813590245276
1.9000000000000001,1.680974107851071,1.749155095656502e-05,1.6809915994020275
1.9100000000000001,1.708933762001542,1.8530530139607232e-05,1.7089522925316816
1.92,1.7363879938083047,1.956950932264942e-05,1.7364075633176272
1.93,1.7645762357176387,2.0835301041134874e-05,1.7645970710186798
1.94,1.7928849038571357,2.2212806396480444e-05,1.7929071166635322
1.95,1.8213684835748776,2.359031175182601e-05,1.8213920738866294
1.96,1.8500205000602128,2.4967817107171577e-05,1.85004546787732
1.97,1.87878576185739,2.6345322462517144e-05,1.8788121071798525
1.98,1.907938622949075,2.772282781786271e-05,1.9079663457768927
1.99,1.9527648667401536,2.9100333173208277e-05,1.9527939670733268
2.0,2.0113566038310595,3.0477838528553843e-05,2.011387081669588
2.0100000000000002,2.1466652644581115,3.1855343883899444e-05,2.1466971198019955
