energy;sum_spectrum
3.06;334029.28
3.07;335403.4295
3.08;336777.579
3.09;338152.4047
3.1;339527.2304
3.11;340897.1354
3.12;342267.0404
3.13;343632.8501
3.14;344998.6598
3.15;346359.0599
3.16;347719.46
3.17;349075.914
3.18;350430.7172
3.19;351785.7458
3.2;353141.1871
3.21;354491.895
3.22;355842.6029
3.23;357188.1266
3.24;358533.6503
3.25;359873.0882
3.26;361212.5261
3.27;362547.456
3.28;363882.3859
3.29;365215.738
3.3;366548.6774
3.31;367876.2072
3.32;369205.3878
3.33;370527.6953
3.34;371850.0028
3.35;373165.5483
3.36;374481.0938
3.37;375792.5821
3.38;377104.0704
3.39;378413.7555
3.4;379723.4406
3.41;381026.8526
3.42;382330.2646
3.43;383628.2289
3.44;384926.1932
3.45;386216.9447
3.46;387507.6962
3.47;388794.6159
3.48;390081.5356
3.49;391366.087
3.5;392649.4003
3.51;393926.6278
3.52;395203.8553
3.53;396474.5462
3.54;397745.2371
3.55;399008.039
3.56;400270.4282
3.57;401529.8872
3.58;402789.7589
3.59;404045.1226
3.6;405300.4863
3.61;406549.088
3.62;407797.6897
3.63;409039.304
3.64;410282.1564
3.65;411514.9801
3.66;412747.8038
3.67;413979.0497
3.68;415210.2956
3.69;416436.1319
3.7;417661.9682
3.71;418880.3663
3.72;420098.7644
3.73;421309.537
3.74;422520.3096
3.75;423721.5773
3.76;424922.845
3.77;426124.3381
3.78;427325.8312
3.79;428521.3496
3.8;429715.6299
3.81;430902.472
3.82;432089.3141
3.83;433268.2672
3.84;434447.2203
3.85;435616.932
3.86;436786.6437
3.87;437955.003
3.88;439123.3623
3.89;440284.2834
3.9;441445.2045
3.91;442598.462
3.92;443751.7195
3.93;444896.4118
3.94;446042.3422
3.95;447177.6058
3.96;448312.8694
3.97;449446.7425
3.98;450580.6156
3.99;451706.5997
4.0;452832.5838
4.01;453950.2281
4.02;455067.8724
4.03;456176.9515
4.04;457286.0306
4.05;458386.3191
4.06;459486.6076
4.07;460584.6421
4.08;461682.6766
4.09;462773.6094
4.1;463863.3041
4.11;464944.4336
4.12;466025.5631
4.13;467097.902
4.14;468170.2409
4.15;469234.24
4.16;470298.2391
4.17;471358.8572
4.18;472419.0626
4.19;473470.7028
4.2;474522.7557
4.21;475566.018
4.22;476609.2803
4.23;477642.8504
4.24;478676.4205
4.25;479703.0032
4.26;480730.824
4.27;481752.6733
4.28;482774.5226
4.29;483787.5813
4.3;484800.64
4.31;485804.4573
4.32;486808.2746
4.33;487802.1743
4.34;488796.074
4.35;489783.4371
4.36;490770.8002
4.37;491752.3029
4.38;492733.8056
4.39;493706.2923
4.4;494678.779
4.41;495641.9862
4.42;496604.7807
4.43;497556.756
4.44;498508.7313
4.45;499456.1986
4.46;500403.6659
4.47;501343.9204
4.48;502284.1749
4.49;503215.4134
4.5;504146.6519
4.51;505067.9728
4.52;505989.2937
4.53;506898.8938
4.54;507808.4939
4.55;508715.1638
4.56;509623.0718
4.57;510521.4019
4.58;511419.732
4.59;512307.9572
4.6;513196.1824
4.61;514074.9027
4.62;514953.623
4.63;515820.3971
4.64;516687.1712
4.65;517551.6913
4.66;518416.2114
4.67;519271.2647
4.68;520126.318
4.69;520971.4537
4.7;521816.5894
4.71;522652.5948
4.72;523487.3621
4.73;524310.8594
4.74;525133.944
4.75;525954.0984
4.76;526774.6655
4.77;527585.5404
4.78;528396.4153
4.79;529197.1472
4.8;529997.8791
4.81;530787.7918
4.82;531577.7045
4.83;532357.2488
4.84;533136.7931
4.85;533912.2802
4.86;534687.3546
4.87;535452.7368
4.88;536219.7698
4.89;536975.1963
4.9;537730.6228
4.91;538475.2301
4.92;539219.8374
4.93;539954.3017
4.94;540688.766
4.95;541418.7223
4.96;542148.6786
4.97;542868.3046
4.98;543587.9306
4.99;544297.3755
5.0;545006.8204
5.01;545705.2207
5.02;546403.621
5.03;547094.2434
5.04;547783.6277
5.05;548467.377
5.06;549150.7136
5.07;549823.6818
5.08;550497.0627
5.09;551160.0752
5.1;551823.0877
5.11;552474.3794
5.12;553125.6711
5.13;553768.8484
5.14;554412.0257
5.15;555048.8918
5.16;555685.3452
5.17;556311.4302
5.18;556939.166
5.19;557554.8445
5.2;558170.523
5.21;558774.2553
5.22;559377.9876
5.23;559974.3198
5.24;560570.652
5.25;561160.1841
5.26;561749.7162
5.27;562328.4291
5.28;562907.142
5.29;563475.2611
5.3;564043.3802
5.31;564598.2388
5.32;565153.0974
5.33;565704.4226
5.34;566254.5097
5.35;566795.8062
5.36;567336.69
5.37;567866.7546
5.38;568397.2319
5.39;568916.89
5.4;569436.5481
5.41;569942.9076
5.42;570448.8544
